Forecast Labor Summary - Facility Detail - Yearly,,,,,
,,,,,
UI Field,Forecast ,Facility Goal ,Prior 12 Mon ,% Change ,
,,,,Previous,current
FACILITY VOLUME SUMMARY,,,,,
Admissions,Admissions,FacilityAdmissions,PriorAdmissions,PriorAdmissions, Admissions
Adjusted Admissions,AAdmissions,FacilityAdjustedAdmissions,PriorAdjustedAdmissions,PriorAdjustedAdmissions, AAdmissions
Patient Days,PatientDays,FacilityPatientDays,PriorPatientDays,PriorPatientDays, PatientDays
APD,APatientDays,FacilityAPD,PriorAPD,PriorAPD, APatientDays
ER Visits,ERVisits,FacilityERVisits,PriorERVisits,PriorERVisits, ERVisits
Outpatient Visits,Outpatient,FacilityOutpatientVisits,PriorOutpatientVisits,PriorOutpatientVisits, Outpatient
OP Factor,OPFactorTotal,(FacilityOPFactor,PriorOPFactor,PriorOPFactor, OPFactorTotal
ALOS,ALOSTotal,(FacilityALOS,PriorALOS,PriorALOS, ALOSTotal
EEOB,EeobTotal,(BudgetGoalEeob,(PrioEeob,PrioEeob, EeobTotal
MH/AA,MhAaTotal,(BudgetGoalMh,(PriorMHAA,PriorMHAA, MhAaTotal
,,,,,
FACILITY LABOR EXPENSE SUMMARY,,,,,
Total Salaries & Wages ($000),TotalSalariesAndWagesTotal,FacilityTotalSalariesWages,PriorTotalSalariesWages,PriorTotalSalariesWages, TotalSalariesAndWagesTotal
Total Contract Labor ($000),TotalContractLaborDollarsTotal,FacilityTotalContractLabor,PriorTotalContractLabor,PriorTotalContractLabor, TotalContractLaborDollarsTotal
Total Labor Expense ($000),TotalLaborExpenseTotal,FacilityTotalLaborExpense,PriorTotalLaborExpense,PriorTotalLaborExpense, TotalLaborExpenseTotal
Employed Labor Rate,FormatGRV3(EmployedLaborRateTotal,FormatGRV3(FacilityEmployedLaborRate,PriorEmployedLaborRate,PriorEmployedLaborRate, EmployedLaborRateTotal
Contract Labor Rate,ContractLaborRateTotal,FacilityContractLaborRate,PriorContractLaborRate,PriorContractLaborRate, ContractLaborRateTotal
Overtime Premium Dollars,OverTimePremiumDollarsTotal,FacilityOvertimePremiumDollars,PriorOvertimePremiumDollars,PriorOvertimePremiumDollars, OverTimePremiumDollarsTotal
Overtime %,OtPercentTotal,FacilityOvertimePercent,FormatDec(PriorOvertimePercent,PriorOvertimePercent, OtPercentTotal
Overtime FTEs,OTFTEsTotal,FacilityOvertimeFTEs,FormatGRV3(PriorOvertimeFTEs,PriorOvertimeFTEs, OTFTEsTotal
,,,,,
FACILITY FTE SUMMARY,,,,,
Employed (Productive) FTEs,EmployedProductiveFtesTotal,FacilityEmployedProductiveFTEs,PriorEmployedProductiveFTEs,PriorEmployedProductiveFTEs, EmployedProductiveFtesTotal
Contract Labor %,ContractPercentTotal,FacilityContractLaborPercent * 100,PriorContractLaborPercent * 100,PriorContractLaborPercent*100, ContractPercentTotal
Contract FTEs,ContractFtesTotal,FacilityContractFTEs,PriorContractFTEs,PriorContractFTEs, ContractFtesTotal
Total Productive FTEs,TotalProductiveFtesTotal,FacilityTotalProductiveFTEs,FormatGRV3(PriorTotalProductiveFTEs,PriorTotalProductiveFTEs, TotalProductiveFtesTotal
Non-Productive %,NonProductivePercentTotal,FacilityEmployedNonProductivePercent,PriorEmployedNonProductivePercent,PriorEmployedNonProductivePercent, NonProductivePercentTotal
Non-Productive FTEs,NonProductiveFtesTotal,FacilityNonProductiveFTEs,FormatGRV3(PriorNonProductiveFTEs,PriorNonProductiveFTEs, NonProductiveFtesTotal
Employed (Paid) FTEs,EmployedPaidFtesTotal,FacilityEmployedPaidFTEs,PriorEmployedPaidFTEs,PriorEmployedPaidFTEs, EmployedPaidFtesTotal
Total FTEs (Paid + Contract),TotalFtesTotal,FacilityTotalFTEsPaidContract,PriorEmployedPaidFTEs + PriorContractFTEs,PriorTotalFTEsPaidContract, TotalFtesTotal
,,,,,
REPORT INFORMATION,,,,,
Stored Procedure: rpt_GetLaborSumFacility,,,,,
,,,,,
,,,,,
,,,,,
,,Formula GetDeltaPercentage,% Change = ((CurrentValue - PreviousValue) / PreviousValue) × 100,,
